timestamp,Robin_office_Shirlene,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed
01-Jan-16,8.0204,3.8,,2.4,,0,1020.9,240,3.1
01-Jan-16,16.0408,3.7,0,2.4,,,1021.6,230,2.6
01-Jan-16,16.0408,2.6,0,1.9,,,1021.9,0,0
01-Jan-16,16.0408,2,0,1.2,,,1022.3,170,1.5
01-Jan-16,16.0408,2.3,0,1.8,,,1022.7,110,1.5
01-Jan-16,16.0408,2.4,,2,,,1023,100,1
01-Jan-16,16.0408,2.3,,1.8,,,1023,90,1.5
01-Jan-16,16.0408,2.6,,1.9,,,1022.5,80,1
01-Jan-16,16.0408,2.2,,1.5,,,1022.3,60,1
01-Jan-16,16.0408,2.2,,1.2,,,1022,100,2.6
01-Jan-16,16.0408,4,,1.8,,,1020.9,90,4.1
01-Jan-16,16.0408,5.4,,1.9,,,1020.4,120,3.6
01-Jan-16,16.0408,7,,4.4,,0,1019.1,120,5.1
01-Jan-16,16.0408,7.2,,4.4,,,1017.6,110,5.7
01-Jan-16,16.0408,7.4,,4.5,,,1016.2,100,5.1
01-Jan-16,16.0408,7.5,,5.6,,,1014.9,100,7.2
01-Jan-16,16.0408,7.6,,6.7,,,1013.8,110,5.7
01-Jan-16,16.0408,8,,7.1,,,1012.5,120,6.7
01-Jan-16,16.0408,8.1,,6.5,,,1011,130,7.7
01-Jan-16,16.0408,8.1,,6.3,,,1010.2,120,8.8
01-Jan-16,16.0408,8.2,,6.2,,,1008.8,120,8.2
01-Jan-16,16.0408,8.5,,6.1,,,1007.5,120,8.2
01-Jan-16,16.0408,8.3,,6.5,,,1006.4,130,8.2
01-Jan-16,16.0408,7.9,,7,,,1005.1,130,7.2
02-Jan-16,16.0204,8.1,,7.4,,10,1004.2,130,7.2
02-Jan-16,15.7704,8.2,,7.7,,,1002.4,110,8.2
02-Jan-16,15.25,8.5,,8.1,,,1001.9,120,6.7
02-Jan-16,15.25,9.1,,8.2,,,1001,130,7.2
02-Jan-16,15.5,9.3,,8.3,,,1000,130,7.2
02-Jan-16,16,9.6,,8.4,,,998.9,130,8.2
02-Jan-16,15.75,9.7,,8.4,,,998.3,130,7.7
02-Jan-16,16,9.4,,8.8,,,997.9,130,8.2
02-Jan-16,15.75,9.7,,8.9,,,997.5,140,7.2
02-Jan-16,15.25,9.9,,9.1,,,997.6,140,7.2
02-Jan-16,16,9.8,,9.4,,,997.3,130,6.2
02-Jan-16,16.25,9.9,,9.6,,,996.7,130,7.2
02-Jan-16,15.75,10.1,,9.5,,20,996,130,8.2
02-Jan-16,16.5,10,,9.6,,,995.1,130,7.7
02-Jan-16,15.75,10,,9.8,,,994.3,120,8.2
02-Jan-16,15.75,10.2,,10.2,,,994.3,140,5.7
02-Jan-16,15.5,11.2,,11.1,,,994.7,190,5.1
02-Jan-16,15.75,10.9,,10.5,,,995.4,210,6.7
02-Jan-16,16,10.9,,10.3,,,995.9,230,7.2
02-Jan-16,16.5,10.4,,9.7,,,997,260,8.2
02-Jan-16,15.75,10.1,,9.6,,,998.3,270,6.2
02-Jan-16,15.5,9.9,,9.6,,,999.2,260,8.8
02-Jan-16,15.5,9.9,,9,,,999.9,260,7.2
02-Jan-16,16,10,,9.2,,,1000.3,250,6.2
03-Jan-16,15.5,9.7,,9.2,,2,1001.1,240,6.7
03-Jan-16,16,9.3,,8.5,,,1001.4,250,9.3
03-Jan-16,15.75,8.5,,7.2,,,1002,250,7.7
03-Jan-16,15.5,7.7,,5.7,,,1002.5,240,8.2
03-Jan-16,15.25,6.8,,3.9,,,1001.7,230,5.7
03-Jan-16,15.5,6.3,,3.3,,,1000.9,190,3.6
03-Jan-16,15.5,5.2,,2.5,,,1000,160,3.1
03-Jan-16,15,5.8,,2.9,,,998.7,150,3.6
03-Jan-16,15.25,6.8,,4.6,,,997.1,150,4.6
03-Jan-16,15,7.9,,6.5,,,995.5,140,4.6
03-Jan-16,15,8.9,,7.8,,,993.6,150,6.2
03-Jan-16,15.5,9.2,,8.2,,,991.5,150,8.2
03-Jan-16,15.75,9.1,,8.2,,10,989,140,9.3
03-Jan-16,16.5,8.9,,8.2,,,987,150,8.2
03-Jan-16,15.75,8.9,,8.3,,,984.6,140,9.3
03-Jan-16,16,9.6,,8.5,,,984.7,190,5.1
03-Jan-16,15.25,9.4,,8.3,,,984.2,190,4.6
03-Jan-16,16,8.3,,7.8,,,984.6,190,3.6
03-Jan-16,15.5,8.2,,7.6,,,984.2,210,4.6
03-Jan-16,15.75,8.1,0,7.5,,,983.9,220,4.6
03-Jan-16,15.5,7.8,0,7,,,984,190,3.6
03-Jan-16,15.5,7.4,0,6.8,,,984,200,3.1
03-Jan-16,15,6.6,0,6.1,,,984,200,3.6
03-Jan-16,15.25,6.5,0,5.9,,,983.9,190,4.1
04-Jan-16,17.25,6,0,5.5,,0,983.8,180,4.1
04-Jan-16,15.25,6.3,,5.8,,,983.5,180,3.1
04-Jan-16,14.75,6.6,,5.9,,,983.5,170,3.6
04-Jan-16,15.25,6.1,,5.5,,,983.3,180,4.1
04-Jan-16,15.25,6.4,,5.7,,,983.1,180,4.1
04-Jan-16,15.25,5.8,,5.3,,,983.2,170,2.1
04-Jan-16,18.5,6.4,,6,,,983,180,3.6
04-Jan-16,22.5,6.7,,6,,,982.8,160,3.6
04-Jan-16,23.25,7.4,,6.2,,,982.7,180,4.6
04-Jan-16,25.75,7.7,,6.5,,,982.8,160,4.1
04-Jan-16,27.25,8.9,,7.4,,,982.7,180,4.6
04-Jan-16,29.25,9.7,,7.5,,,982.7,200,5.1
04-Jan-16,34,9.8,,7.5,,0,982.3,200,5.7
04-Jan-16,30.5,10.1,,8,,,982,190,5.1
04-Jan-16,30.5,10.4,,7.4,,,981.8,210,4.6
04-Jan-16,32.75,9.8,,7.2,,,982.1,210,4.1
04-Jan-16,32.25,9.2,,7.4,,,982.4,190,3.6
04-Jan-16,28.75,8.6,,7.3,,,982.5,170,3.6
04-Jan-16,25.5,8.2,,6.7,,,982.5,170,4.1
04-Jan-16,21.5,7.7,,6.2,,,982.8,170,4.6
04-Jan-16,18.5,7.6,,6,,,982.9,170,4.6
04-Jan-16,19.25,7.9,,6.3,,,982.9,160,4.1
04-Jan-16,18.75,7.2,,6.2,,,982.7,140,4.1
04-Jan-16,18.5,7.7,,6.7,,,982.4,150,4.6
05-Jan-16,20.5,7.4,,6.9,,2,982.2,150,4.1
05-Jan-16,18.75,8.1,,6.6,,,981.9,170,5.1
05-Jan-16,18,8.2,,7.3,,,981.9,160,3.6
05-Jan-16,18,8.3,,7.4,,,982,180,3.6
05-Jan-16,18.75,6.4,,5.6,,,981.8,150,2.6
05-Jan-16,18.5,6.7,,6.6,,,981.8,140,2.1
05-Jan-16,21.5,5.7,,5.5,,,982.1,150,2.6
05-Jan-16,25.25,7.1,,6.9,,,982.5,150,2.6
05-Jan-16,26.25,6.7,,6.3,,,982.9,160,2.6
05-Jan-16,32.75,6.7,,6.4,,,983.5,180,1.5
05-Jan-16,34,7.4,,6.8,,,984,170,2.1
05-Jan-16,34.25,8.7,,8.3,,,984.5,190,3.1
05-Jan-16,38.25,9.3,,7.8,,-1,984.7,220,4.1
05-Jan-16,37.25,9.6,,7.8,,,984.7,210,3.6
05-Jan-16,37.5,9.3,,7.5,,,984.9,180,3.1
05-Jan-16,39.5,9.4,,7.7,,,985.2,190,3.1
05-Jan-16,40.25,9.2,,7.6,,,985.8,160,2.6
05-Jan-16,38,8.7,,7.8,,,986.4,130,1.5
05-Jan-16,32,9,,7.8,,,986.9,160,3.1
05-Jan-16,26.75,8.7,,7.8,,,987.6,180,2.1
05-Jan-16,24.25,8.2,,7.6,,,988.2,210,3.1
05-Jan-16,23.75,7.5,,6.8,,,988.7,200,1.5
05-Jan-16,23.75,6.9,,6.4,,,989.3,210,2.1
05-Jan-16,22.75,6.5,,6.2,,,989.6,210,0.5
06-Jan-16,26.9596,6.4,,6.2,,0,990,110,1.5
06-Jan-16,30.9192,6.3,,6.1,,,990.4,110,1.5
06-Jan-16,30.9192,6.5,,6.4,,,990.9,300,0.5
06-Jan-16,30.9192,6.4,,6.3,,,991.6,0,0
06-Jan-16,30.9192,6.2,,6.1,,,991.8,110,1
06-Jan-16,30.9192,5.6,,5.5,,,992.2,70,1
06-Jan-16,30.9192,5.6,,5.5,,,992.9,350,1
06-Jan-16,30.9192,4.9,,4.9,,,993.7,330,2.1
06-Jan-16,30.9192,5.4,,5.4,,,994.3,320,1
06-Jan-16,30.9192,5.6,,5.6,,,995.4,310,2.1
06-Jan-16,30.9192,5,,5,,,995.8,310,2.1
06-Jan-16,30.9192,5.8,,5.7,,,996.9,330,2.6
06-Jan-16,30.9192,6.9,,6.8,,2,996.6,310,1.5
06-Jan-16,30.9192,7.7,,7.3,,,996.3,310,1.5
06-Jan-16,30.9192,7.9,,6.8,,,996.4,40,1
06-Jan-16,30.9192,8.1,,6.5,,,996.7,160,1.5
06-Jan-16,30.9192,7.9,,6.6,,,997.1,180,2.6
06-Jan-16,30.9192,7.4,,6.3,,,996.8,170,2.6
06-Jan-16,30.9192,7.1,,6.2,,,996,160,2.6
06-Jan-16,30.9192,6.4,,5.8,,,995.2,130,3.6
06-Jan-16,30.9192,5.9,,5.4,,,994.5,140,3.1
06-Jan-16,30.9192,5.7,,5.5,,,994.2,140,3.1
06-Jan-16,30.9192,5.6,,5.4,,,993.3,130,4.6
06-Jan-16,30.9192,5.9,,5.7,,,992.6,120,4.1
07-Jan-16,30.9192,6.7,,6.4,,0,991,130,4.6
07-Jan-16,30.9192,7.5,,6.5,,,989.3,140,5.1
07-Jan-16,30.9192,8,,7.1,,,988.5,140,4.6
07-Jan-16,30.9192,8.3,,6.4,,,986.7,140,6.7
07-Jan-16,30.9192,7.9,,6.3,,,984.7,150,8.2
07-Jan-16,30.9192,7.4,,6.6,,,983.9,150,8.2
07-Jan-16,30.9192,7.6,,7,,,982.2,150,6.7
07-Jan-16,30.9192,7.8,,7.3,,,981.3,140,6.7
07-Jan-16,30.9192,8.4,,8,,,980.4,160,4.1
07-Jan-16,30.9192,9.2,,8.8,,,980.5,220,2.6
07-Jan-16,30.9192,10.2,,10.1,,,980.8,240,5.7
07-Jan-16,30.9192,9.7,,8.7,,,981.7,260,8.2
07-Jan-16,30.9192,8.6,,6.2,,60,983.9,280,10.8
07-Jan-16,30.9192,7.6,,3.9,,,987.1,280,9.8
07-Jan-16,30.9192,7.9,,1.9,,,989.5,290,10.8
07-Jan-16,30.9192,7.8,,1.7,,,991.1,270,7.7
07-Jan-16,30.9192,7,,1.5,,,992.6,270,6.7
07-Jan-16,30.9192,5.9,,1,,,993.5,260,7.2
07-Jan-16,30.9192,5.3,0,0.8,,,994.7,260,5.7
07-Jan-16,30.9192,5.1,0,0.6,,,996,260,7.7
07-Jan-16,30.9192,4.8,0,0.6,,,996.9,250,6.7
07-Jan-16,30.9192,4.2,,0.4,,,997.8,260,5.7
07-Jan-16,30.9192,4.5,0,0.6,,,998.9,230,6.2
07-Jan-16,30.9192,3,0,0.5,,,999.5,230,3.1
08-Jan-16,30.9192,3.3,0,0.9,,0,1000.3,220,4.6
08-Jan-16,30.9192,3.2,0,1.1,,,1000.4,220,4.6
08-Jan-16,30.9192,2.6,0,1,,,1000.8,220,3.1
08-Jan-16,30.9192,2.7,0,1.2,,,1000.9,200,3.1
08-Jan-16,30.9192,1.9,0,0.8,,,1001,220,2.1
08-Jan-16,30.9192,2.4,0,1.6,,,1000.7,200,2.1
08-Jan-16,30.9192,1.6,,0.9,,,1000.2,150,1
08-Jan-16,30.9192,4.2,,2.4,,,1000,190,5.1
08-Jan-16,30.9192,4.4,0,2.6,,,1000,190,4.1
08-Jan-16,30.9192,5.8,,4.1,,,1000.1,180,4.1
08-Jan-16,30.9192,6.7,,4.8,,,1000.1,190,4.1
08-Jan-16,30.9192,7.7,,5.5,,,999.7,190,4.6
08-Jan-16,30.9192,7.7,,6.2,,-1,999.3,180,3.6
08-Jan-16,30.9192,8.9,,6.9,,,998.7,190,3.6
08-Jan-16,30.9192,8.8,,5.3,,,998.6,200,4.6
08-Jan-16,30.9192,8.4,0,5.4,,,998.1,190,4.1
08-Jan-16,30.9192,7.8,,5.6,,,998.1,160,3.6
08-Jan-16,30.9192,7.8,,6.5,,,998.1,180,4.6
08-Jan-16,30.9192,8,,6.9,,,998,190,5.1
08-Jan-16,30.9192,7.3,,6.6,,,998.2,190,3.1
08-Jan-16,30.9192,7.3,,6.3,,,998.3,190,4.1
08-Jan-16,30.9192,7.4,,5.9,,,998.1,160,3.6
08-Jan-16,30.9192,7,,6.2,,,998,210,2.6
08-Jan-16,30.9192,7.1,,6.6,,,997.3,180,2.1
09-Jan-16,30.9192,7.2,,6.5,,4,997.2,180,3.1
09-Jan-16,30.9192,7.5,,6.8,,,996.7,170,3.1
09-Jan-16,30.9192,8,,7,,,996.4,190,3.6
09-Jan-16,30.9192,7.6,,6.7,,,995.9,170,4.1
09-Jan-16,30.9192,7.8,,6.7,,,995.9,190,3.6
09-Jan-16,30.9192,6.6,,5.8,,,995.2,160,2.6
09-Jan-16,30.9192,6,,5,,,,160,2.6
09-Jan-16,30.9192,7.6,,7.1,,,993.9,140,4.6
