Robin_office_Shirlene,airTemperature,dewTemperature,hour,day_of_week,month,Robin_office_Shirlene_lag_1,Robin_office_Shirlene_lag_2,Robin_office_Shirlene_lag_3,Robin_office_Shirlene_lag_4,Robin_office_Shirlene_lag_24,Robin_office_Shirlene_lag_168,rolling_4_mean,rolling_4_std,rolling_24_mean,rolling_24_std,rolling_168_mean,rolling_168_std,load_gradient,load_volatility_4h,hour_sin,hour_cos,day_sin,day_cos,is_business_day,hours_since_work_start
8.0204,3.8,2.4,0,4,1,8.0204,8.0204,8.0204,8.0204,8.0204,8.0204,8.0204,5.671279227828586,8.0204,5.671279227828586,8.0204,5.671279227828586,8.0204,5.671279227828586,0.0,1.0,-0.433883739117558,-0.9009688679024191,True,0
16.0408,3.7,2.4,1,4,1,8.0204,8.0204,8.0204,8.0204,8.0204,8.0204,8.0204,5.671279227828586,8.0204,5.671279227828586,8.0204,5.671279227828586,8.0204,5.671279227828586,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,True,0
16.0408,2.6,1.9,2,4,1,16.0408,8.0204,8.0204,8.0204,8.0204,8.0204,12.0306,5.671279227828586,12.0306,5.671279227828586,12.0306,5.671279227828586,0.0,4.630580099008475,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,True,0
16.0408,2.0,1.2,3,4,1,16.0408,16.0408,8.0204,8.0204,8.0204,8.0204,13.367333333333335,4.630580099008475,13.367333333333335,4.630580099008475,13.367333333333335,4.630580099008475,0.0,4.010200000000001,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,True,0
16.0408,2.3,1.8,4,4,1,16.0408,16.0408,16.0408,8.0204,8.0204,8.0204,14.035700000000002,4.010200000000001,14.035700000000002,4.010200000000001,14.035700000000002,4.010200000000001,0.0,0.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,0
16.0408,2.4,2.0,5,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,14.436720000000003,3.5868319213478634,14.436720000000003,3.5868319213478634,0.0,0.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,True,0
16.0408,2.3,1.8,6,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,14.704066666666668,3.2743145888363676,14.704066666666668,3.2743145888363676,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,True,0
16.0408,2.6,1.9,7,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,14.895028571428572,3.0314262593232066,14.895028571428572,3.0314262593232066,0.0,0.0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,True,0
16.0408,2.2,1.5,8,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.038250000000001,2.835639613914293,15.038250000000001,2.835639613914293,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,True,0
16.0408,2.2,1.2,9,4,1,16.0408,16.0408,16.0408,16.0408,8.0204,8.0204,16.0408,0.0,15.149644444444444,2.673466666666667,15.149644444444444,2.673466666666667,0.0,0.0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,True,1
